date,direction,visibility,arrows_code
201911010620,0,19500,11111111111111111
201911010620,45,30700,11111111111111111111
201911010620,90,28100,1101111111111111111
201911010620,135,6800,11111111
201911010620,180,15800,111111111111111
201911010620,225,7900,111111111
201911010620,270,10400,11111111111111111111111
201911010620,315,20900,11111111111111111111
201911010650,0,19500,11111111111111111
201911010650,45,30700,11111111111111111111
201911010650,90,28100,1111111111111111111
201911010650,135,6800,11111111
201911010650,180,15800,111111111111111
201911010650,225,7900,111111111
201911010650,270,10400,11111111111111111111111
201911010650,315,20900,11111111111111111111
201911010720,0,19500,11111111111111111
201911010720,45,30700,11111111111111111111
201911010720,90,28100,1111111111111111111
201911010720,135,6800,11111111
201911010720,180,15800,111111111111111
201911010720,225,7900,111111111
201911010720,270,10400,11111111111111111111111
201911010720,315,20900,11111111111111111111
201911010750,0,19500,11111111111111111
201911010750,45,30700,11111111111111111111
201911010750,90,28100,1111111111111111111
201911010750,135,6800,11111111
201911010750,180,15800,111111111111111
201911010750,225,7900,111111111
201911010750,270,10400,11111111111111111111111
201911010750,315,20900,11111111111111111111
201911010820,0,19500,11111111111111111
201911010820,45,30700,11111111111111111111
201911010820,90,28100,1111111111111111111
201911010820,135,6800,11111111
201911010820,180,15800,111111111111111
201911010820,225,7900,111111111
201911010820,270,10400,11111111111111111111111
201911010820,315,20900,11111111111111111111
201911010850,0,19500,11111111111111111
201911010850,45,30700,11111111111111111111
201911010850,90,28100,1111111111111111111
201911010850,135,6800,11111111
201911010850,180,15800,111111111111111
201911010850,225,7900,111111111
201911010850,270,10400,11111111111111111111111
201911010850,315,20900,11111111111111111111
201911010920,0,19500,11111111111111111
201911010920,45,30700,11111111111111111111
201911010920,90,28100,1111111111111111111
201911010920,135,6800,11111111
201911010920,180,15800,111111111111111
201911010920,225,7900,111111111
201911010920,270,10400,11111111111111111111111
201911010920,315,20900,11111111111111111111
201911010950,0,19500,11111111111111111
201911010950,45,30700,11111111111111111111
201911010950,90,28100,1111111111111111111
201911010950,135,6800,11111111
201911010950,180,15800,111111111111111
201911010950,225,7900,111111111
201911010950,270,10400,11111111111111111111111
201911010950,315,20900,11111111111111111111
201911011020,0,19500,11111111111111111
201911011020,45,30700,11111111111111111111
201911011020,90,28100,1111111111111111111
201911011020,135,6800,11111111
201911011020,180,15800,111111111111111
201911011020,225,7900,111111111
201911011020,270,10400,11111111111111111111111
201911011020,315,20900,11111111111111111111
201911011050,0,19500,11111111111111111
201911011050,45,30700,11111111111111111111
201911011050,90,28100,1111111111111111111
201911011050,135,6800,11111111
201911011050,180,15800,111111111111111
201911011050,225,7900,111111111
201911011050,270,10400,11111111111111111111111
201911011050,315,20900,11111111111111111111
201911011120,0,19500,11111111111111111
201911011120,45,30700,11111111111111111111
